""	"ensembl"	"name"
"ENSG00000120686"	"ENSG00000120686"	"UFM1"
"ENSG00000169246"	"ENSG00000169246"	"NPIPB3"
"ENSG00000229239"	"ENSG00000229239"	""
"ENSG00000202147"	"ENSG00000202147"	"RNA5SP329"
"ENSG00000231356"	"ENSG00000231356"	""
"ENSG00000172954"	"ENSG00000172954"	"LCLAT1"
"ENSG00000077157"	"ENSG00000077157"	"PPP1R12B"
"ENSG00000258799"	"ENSG00000258799"	""
"ENSG00000171503"	"ENSG00000171503"	"ETFDH"
"ENSG00000240244"	"ENSG00000240244"	"GAPDHP33"
"ENSG00000264656"	"ENSG00000264656"	"RNU6-465P"
"ENSG00000268437"	"ENSG00000268437"	"FAM47DP"
"ENSG00000261783"	"ENSG00000261783"	""
"ENSG00000185480"	"ENSG00000185480"	"PARPBP"
"ENSG00000206340"	"ENSG00000206340"	"C4A"
"ENSG00000262237"	"ENSG00000262237"	""
"ENSG00000263354"	"ENSG00000263354"	"MIR5011"
"ENSG00000182752"	"ENSG00000182752"	"PAPPA"
"ENSG00000260302"	"ENSG00000260302"	""
"ENSG00000130803"	"ENSG00000130803"	"ZNF317"
"ENSG00000180269"	"ENSG00000180269"	"GPR139"
"ENSG00000271512"	"ENSG00000271512"	""
"ENSG00000156265"	"ENSG00000156265"	"MAP3K7CL"
"ENSG00000196966"	"ENSG00000196966"	"HIST1H3E"
"ENSG00000266141"	"ENSG00000266141"	"MIR2909"
"ENSG00000200480"	"ENSG00000200480"	"SNORD114-28"
"ENSG00000140497"	"ENSG00000140497"	"SCAMP2"
"ENSG00000269064"	"ENSG00000269064"	""
"ENSG00000130881"	"ENSG00000130881"	"LRP3"
"ENSG00000261017"	"ENSG00000261017"	""
"ENSG00000114744"	"ENSG00000114744"	"COMMD2"
"ENSG00000254315"	"ENSG00000254315"	""
"ENSG00000140932"	"ENSG00000140932"	"CMTM2"
"ENSG00000171133"	"ENSG00000171133"	"OR2K2"
"ENSG00000214821"	"ENSG00000214821"	"HMGB1P4"
"ENSG00000258159"	"ENSG00000258159"	""
"ENSG00000234888"	"ENSG00000234888"	"OFD1P15Y"
"ENSG00000225036"	"ENSG00000225036"	""
"ENSG00000266062"	"ENSG00000266062"	""
"ENSG00000162897"	"ENSG00000162897"	"FCAMR"
"ENSG00000266677"	"ENSG00000266677"	""
"ENSG00000224412"	"ENSG00000224412"	""
"ENSG00000261370"	"ENSG00000261370"	"RPL14P5"
"ENSG00000203644"	"ENSG00000203644"	""
"ENSG00000236667"	"ENSG00000236667"	""
"ENSG00000236905"	"ENSG00000236905"	""
"ENSG00000248416"	"ENSG00000248416"	""
"ENSG00000236581"	"ENSG00000236581"	"STARD13-AS"
"ENSG00000250447"	"ENSG00000250447"	""
"ENSG00000152117"	"ENSG00000152117"	""
"ENSG00000207116"	"ENSG00000207116"	"RNU6-31P"
"ENSG00000171962"	"ENSG00000171962"	"LRRC48"
"ENSG00000163938"	"ENSG00000163938"	"GNL3"
"ENSG00000264808"	"ENSG00000264808"	"MIR4523"
"ENSG00000244337"	"ENSG00000244337"	""
"ENSG00000225269"	"ENSG00000225269"	"LINC00705"
"ENSG00000163121"	"ENSG00000163121"	"NEURL3"
"ENSG00000263277"	"ENSG00000263277"	""
"ENSG00000223638"	"ENSG00000223638"	"RFPL4A"
"ENSG00000109576"	"ENSG00000109576"	"AADAT"
"ENSG00000266951"	"ENSG00000266951"	""
"ENSG00000262288"	"ENSG00000262288"	""
"ENSG00000238986"	"ENSG00000238986"	""
"ENSG00000234715"	"ENSG00000234715"	""
"ENSG00000260703"	"ENSG00000260703"	"TTC25"
"ENSG00000227682"	"ENSG00000227682"	"ATP5A1P2"
"ENSG00000185414"	"ENSG00000185414"	"MRPL30"
"ENSG00000172236"	"ENSG00000172236"	"TPSAB1"
"ENSG00000184924"	"ENSG00000184924"	"PTRHD1"
"ENSG00000253735"	"ENSG00000253735"	""
"ENSG00000237187"	"ENSG00000237187"	"NR2F1-AS1"
"ENSG00000176542"	"ENSG00000176542"	"KIAA2018"
"ENSG00000217416"	"ENSG00000217416"	"ISCA1P1"
