ensembl	BM1	BM2	BM3	prePB1	prePB2	prePB3	PB1	PB2	PB3	PC1	PC2	PC3
ENSG00000120686	4839	3960	3756	7600	5367	4089	10060	6037	4446	4736	3858	7625
ENSG00000169246	12836	9884	12142	6776	3815	5420	3032	2077	2103	2305	1169	4094
ENSG00000229239	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000202147	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231356	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000172954	155	46	78	678	1135	858	203	285	255	174	163	73
ENSG00000077157	528	387	806	554	400	633	513	477	408	532	366	935
ENSG00000258799	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000171503	489	118	266	1168	1857	1380	500	514	480	506	411	523
ENSG00000240244	0	0	0	1	0	1	0	0	0	0	0	0
ENSG00000264656	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000268437	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000261783	1	3	1	6	2	4	5	1	0	2	0	0
ENSG00000185480	83	103	140	3368	1978	1535	688	597	426	105	126	444
ENSG00000206340	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000262237	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000263354	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000182752	4	14	32	2	5	2	7	4	1	4	1	13
ENSG00000260302	2	0	0	0	1	3	0	0	0	0	1	2
ENSG00000130803	6737	3006	4523	1825	2051	2059	961	1032	1307	998	720	791
ENSG00000180269	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000271512	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000156265	193	92	103	207	147	132	66	54	59	43	40	103
ENSG00000196966	0	0	0	21	4	9	42	16	16	49	24	62
ENSG00000266141	0	1	0	0	0	0	0	1	0	0	0	0
ENSG00000200480	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000140497	2849	912	1650	5414	8235	8095	3540	4488	5465	2981	2730	2056
ENSG00000269064	1	1	0	0	0	0	0	0	0	0	0	0
ENSG00000130881	0	0	0	0	2	0	0	0	0	0	0	0
ENSG00000261017	4	0	3	0	0	0	0	0	1	0	0	0
ENSG00000114744	1515	1057	1278	2576	2094	1537	766	631	575	355	284	508
ENSG00000254315	3	2	3	0	0	1	0	0	0	1	0	1
ENSG00000140932	2	0	5	2	4	1	2	0	1	2	0	3
ENSG00000171133	0	0	0	2	0	0	0	0	0	0	1	0
ENSG00000214821	1	0	1	5	2	4	2	0	2	3	1	0
ENSG00000258159	0	0	1	1	0	0	7	1	2	3	2	11
ENSG00000234888	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225036	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000266062	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162897	2	0	1	1	0	0	0	0	0	0	0	0
ENSG00000266677	48	36	48	8	5	3	11	0	2	0	0	4
ENSG00000224412	0	0	0	3	0	0	0	0	0	0	0	0
ENSG00000261370	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000203644	504	207	315	231	316	196	165	194	119	221	193	146
ENSG00000236667	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236905	0	1	4	5	1	1	6	0	2	2	2	0
ENSG00000248416	2	1	3	0	0	0	4	1	0	0	1	2
ENSG00000236581	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000250447	0	0	0	11	6	7	3	2	2	0	0	0
ENSG00000152117	4973	3165	4728	2280	1557	2241	573	564	637	569	309	808
ENSG00000207116	0	0	0	2	0	0	0	0	0	0	0	0
ENSG00000171962	350	213	248	93	31	56	45	24	30	26	29	105
ENSG00000163938	2142	1286	1731	6898	8042	8330	4626	5060	4000	2982	2148	3423
ENSG00000264808	0	0	1	4	1	9	0	1	1	0	1	1
ENSG00000244337	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225269	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000163121	0	0	0	0	1	3	4	1	1	9	4	10
ENSG00000263277	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000223638	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000109576	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000266951	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000262288	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238986	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000234715	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000260703	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227682	0	0	0	0	2	0	1	1	0	0	0	0
ENSG00000185414	2	4	0	0	2	0	3	1	0	0	0	1
ENSG00000172236	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000184924	402	763	503	814	432	334	479	194	165	42	60	113
ENSG00000253735	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237187	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000176542	8945	3551	6001	1282	1592	1407	1080	1005	1096	919	870	942
ENSG00000217416	535	488	419	554	287	197	227	106	62	66	59	106
ENSG00000101003	0	0	5	4028	3280	2307	600	771	576	165	204	392
ENSG00000173598	6795	3505	5833	5854	7725	6242	4670	4367	4191	2796	2847	3185
ENSG00000269381	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000218819	2	9	0	21	10	32	35	12	53	8	10	88
ENSG00000268330	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000252133	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000261448	12	18	15	61	35	33	20	8	3	7	3	4
ENSG00000258809	0	0	0	4	1	0	0	0	0	0	0	0
ENSG00000212997	27	45	47	7	1	2	4	2	0	0	2	1
ENSG00000260788	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000248991	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000223539	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000169679	30	25	10	11057	14956	11901	3535	5446	4777	1018	1204	1842
ENSG00000273178	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000137185	377	130	253	392	320	363	319	226	226	273	152	327
ENSG00000176396	435	161	291	283	302	338	143	130	127	109	80	129
ENSG00000221199	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000149761	359	119	296	813	663	870	861	718	874	443	369	768
ENSG00000014919	233	125	182	2727	3345	2843	1243	1264	1503	787	792	802
ENSG00000240994	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000206702	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000135828	101	30	152	399	670	608	270	257	303	355	268	332
ENSG00000225140	0	0	0	0	0	0	0	2	0	0	0	0
ENSG00000213385	10	2	9	25	5	15	6	8	6	7	2	15
ENSG00000263063	0	0	0	1	0	4	0	0	0	1	3	0
ENSG00000231902	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000268115	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000251055	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000221105	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000256053	71	42	60	503	495	400	172	151	143	80	86	118
ENSG00000234163	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000113384	3522	863	1479	7076	11453	7042	6322	7425	7206	4218	4852	3574
ENSG00000255479	0	0	0	0	0	0	0	0	2	0	0	0
ENSG00000267517	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000199012	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000239593	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000265091	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000140396	4175	1503	4007	3410	4963	4334	2349	2643	2947	2222	2013	1816
ENSG00000254801	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000204670	0	0	0	3	4	0	8	5	0	15	18	7
ENSG00000271446	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233849	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000222924	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259445	0	1	0	0	0	1	0	1	0	1	0	2
ENSG00000186082	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000116584	3912	1529	2878	3422	4758	4565	2482	3088	3699	2749	2449	2433
ENSG00000200494	0	0	0	3	0	0	0	0	0	4	0	0
ENSG00000260410	0	0	0	3	1	0	5	0	1	0	0	0
ENSG00000216204	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000259607	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000235080	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000113761	512	182	342	729	773	983	322	308	346	239	140	361
ENSG00000228375	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206889	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267867	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000135951	91	92	109	212	115	70	184	69	38	138	69	112
ENSG00000217930	265	162	359	259	77	163	121	66	51	70	42	261
ENSG00000264715	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000014641	1671	1499	1529	20506	12317	9632	4424	3124	3129	1700	1650	2072
ENSG00000117632	130	101	183	26674	16545	12755	3673	3606	3212	537	960	1947
ENSG00000258844	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000188712	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000265750	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000222472	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229017	5	2	5	8	1	0	12	3	5	6	7	7
